name,address,website,phone_number,reviews_count,reviews_average,opens_at
Parque Museo Pedro del Río Zañartu,"Fundo Hualpen S/N, Hualpén, Bío Bío",prz.cl,9 7468 4056,2535,4.6,Museo, Cierra a las 5p.m.,"Museo con la colección privada de un explorador histórico del siglo XIX, además de jardines pintorescos."
Mirador Hualpén (Parque Pedro del Río Zañartu),"Hualpén, Bío Bío",,(41) 242 6399,24,4.7,Museo, Cierra a las 11:30p.m.,None Found
Club Depotivo Social y Cultural Pedro del Rio Zañartu,"Guillermo Matta 377, 4061568 Concepción, Bío Bío",,,19,4.0,Club,,None Found
Sociedad Pedro del río Zañartu,"Guillermo Matta 488, 4061595 Concepción, Bío Bío",,,12,3.9,Sociedad histórica, Cierra a las 5p.m.,None Found
Donde Bigote,"Poblacion - Vicente Perez Rosales, Pedro Del Río Zañartu 191, 4030000 Concepción, Bío Bío",,,3,4.3,Tienda general, Cierra a las 3a.m.,None Found
Arauco Premium Outlet San Pedro,"San Pedro de la Paz, Bío Bío",araucopremiumoutletsanpedro.cl,,8932.0,4.1,Centro comercial, Cierra a las 8p.m.,Centro comercial sencillo con gran variedad de tiendas de indumentaria y de artículos para el hogar con descuento.
Paseo San Pedro,"Los Mañios 4455, San Pedro de la Paz, Bío Bío",,,265.0,4.6,Centro comercial, Cierra a las 10p.m.,None Found
Mercado de San Pedro,"Mercado de - Tucapel 305, 4130000 San Pedro de la Paz, Bío Bío",,9 4582 7954,1286.0,4.4,Proveedor de productos de belleza, Cierra a las 8p.m.,None Found
Mercado de San Pedro,"Mercado de - Tucapel 305, 4130000 San Pedro de la Paz, Bío Bío",,9 4582 7954,1286.0,4.4,Proveedor de productos de belleza, Cierra a las 8p.m.,None Found
Head,"Portal San Pedro 4860, Local 36, 4030000 San Pedro de la Paz, Región del Biobío",headchile.com,9 6407 8736,,,Tienda de bolsos, Cierra a las 8p.m.,None Found
Espacio Alma,"Los Canelos 65, 4130292 Biobío, San Pedro de la Paz, Bío Bío",,,84.0,4.5,Centro comercial, Abre a las 11a.m. del lun,None Found
